sample_id,project_id,text,label_code,label_name,fold
REQ_0001,8,All movies shall be streamed on demand at any time of the day.,A,availability,9
REQ_0003,6,Aside from server failure the software product shall achieve 99.99% up time.,A,availability,8
REQ_0004,9,Defect reports will be available to technical units on a 24x7 basis.,A,availability,6
REQ_0005,2,Out of 1000 accesses to the system the system is available 999 times.,A,availability,3
REQ_0006,21,Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.,A,availability,3
REQ_0007,48,The MTBF (if any) should not be less than 2 months.,A,availability,10
REQ_0008,15,The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,A,availability,8
REQ_0009,13,The WCS system shall be available at all times as long as IBM92s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM92s internal intranet W3 is available.,A,availability,4
REQ_0010,14,The application shall have a downtime of at most 10 minutes per year.,A,availability,1
REQ_0011,24,The application should be connected to the GPS device.,A,availability,2
REQ_0012,24,The application should be connected to the Internet.,A,availability,6
REQ_0013,5,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A,availability,2
REQ_0015,10,The product shall be available 24 hours per day seven days per week.,A,availability,4
REQ_0016,12,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,A,availability,8
REQ_0017,1,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,A,availability,1
REQ_0018,2,The product shall be available for use 24 hours per day 365 days per year,A,availability,1
REQ_0019,37,The software is available for use from the supermarket opening time to the closing time.,A,availability,9
REQ_0020,11,The system must be available for use between 7:00AM and 11:59PM all days of the year.,A,availability,1
REQ_0021,3,The system shall achieve 95% up time.,A,availability,7
REQ_0022,36,The system shall be available 99.5% of the time.,A,availability,9
REQ_0023,3,The system shall be available for use between the hours of 8am and 6pm.,A,availability,6
REQ_0024,11,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,A,availability,10
REQ_0025,46,The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.,A,availability,7
REQ_0026,46,The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.,A,availability,3
REQ_0027,8,The system will provide a 24 hour 800 toll free number for support to its customers.,A,availability,4
REQ_0029,8,The website shall achieve 99.5% up time.,A,availability,10
REQ_0030,8,The website shall be available for use 24 hours per day 365 days per year.,A,availability,7
REQ_0031,8,Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.,A,availability,2
REQ_0032,2,100% of saved user preferences shall be restored when system comes back online.,FT,fault_tolerance,10
REQ_0033,29,ABS shall handle all expected and unexpected errors in ways that prevent loss in information and long downtime period.,FT,fault_tolerance,2
REQ_0034,36,The Operational Interface shall have a Mean Time Between Failures of no less than 7 days.,FT,fault_tolerance,4
REQ_0035,6,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT,fault_tolerance,1
REQ_0036,2,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FT,fault_tolerance,6
REQ_0038,12,The product shall be robust.The product shall have fault avoidance based on standards adoption.,FT,fault_tolerance,3
REQ_0039,6,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT,fault_tolerance,7
REQ_0041,2,The product shall retain user preferences in the event of a failure.,FT,fault_tolerance,3
REQ_0042,34,The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.,FT,fault_tolerance,4
REQ_0043,38,The system shall accommodate high number of items and users without any fault.,FT,fault_tolerance,7
REQ_0044,29,The system shall accommodate large data items without fault.,FT,fault_tolerance,2
REQ_0045,27,The system shall be capable of restoring itself to its previous state in the event of failure (e.g. a system crash or power loss).,FT,fault_tolerance,9
REQ_0046,27,The system shall flag tablets that fail to send timely keep-alive messages as non-operational and disassociate the assigned waiter from the tablet.,FT,fault_tolerance,8
REQ_0047,40,The system should warn ECA users about the malfunction of the system.,FT,fault_tolerance,8
REQ_0048,8,The website shall continue to operate if the payment gateway goes down.,FT,fault_tolerance,9
REQ_0049,8,The website shall continue to operate if the streaming server goes down.,FT,fault_tolerance,6
REQ_0050,4,All actions that modify an existing dispute case must be recorded in the case history.,L,legal,7
REQ_0051,4,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L,legal,4
REQ_0052,4,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,L,legal,1
REQ_0053,8,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,L,legal,2
